Sum of RecodedValue,Column Labels,,,,,,
Row Labels,F1,F2,F3,F4,F5,F6,Grand Total
1,31,48,20,17,28,18,162
2,31,47,19,17,27,20,161
3,36,46,19,18,32,17,168
4,32,54,12,15,30,16,159
5,37,47,22,19,36,19,180
6,36,51,20,23,37,24,191
7,36,56,22,19,29,22,184
8,39,49,18,21,29,16,172
9,36,52,21,22,30,19,180
10,35,58,28,19,40,23,203
11,33,48,20,19,31,20,171
12,38,56,28,22,29,19,192
13,30,45,18,16,33,18,160
14,30,52,23,18,31,18,172
15,30,49,17,19,30,23,168
16,30,54,26,23,31,11,175
17,32,55,18,18,29,21,173
18,33,51,6,14,22,23,149
19,36,55,21,19,39,21,191
20,31,41,17,16,27,16,148
21,32,60,22,21,26,17,178
22,36,55,12,18,33,17,171
23,30,51,22,16,35,21,175
24,34,51,17,20,28,21,171
25,38,53,24,17,24,18,174
26,29,44,16,16,27,17,149
27,32,51,20,19,31,19,172
28,27,50,20,11,27,18,153
29,29,53,16,17,22,18,155
30,31,47,18,19,31,15,161
31,36,57,22,20,35,22,192
32,34,50,19,15,30,21,169
33,29,52,18,16,28,21,164
34,38,57,16,24,33,21,189
35,31,52,17,20,27,19,166
36,25,47,14,22,34,19,161
37,36,55,16,21,30,23,181
38,25,43,10,12,29,16,135
39,23,45,15,16,25,15,139
40,36,51,17,21,29,20,174
41,24,44,17,12,20,12,129
42,34,52,23,17,35,18,179
43,36,56,14,16,32,23,177
44,32,54,20,18,33,20,177
45,38,58,17,21,32,20,186
46,26,57,23,19,33,20,178
47,27,51,21,17,26,19,161
48,36,54,20,16,37,19,182
49,32,49,17,19,28,20,165
50,32,49,22,19,29,16,167
51,34,52,24,17,29,23,179
52,32,51,18,20,30,19,170
53,39,56,22,18,34,22,191
54,38,58,25,19,38,22,200
55,31,48,24,18,27,18,166
56,35,51,14,17,26,16,159
57,39,55,21,24,32,18,189
58,35,51,15,19,24,18,162
59,35,53,24,16,31,23,182
60,38,57,29,16,30,18,188
61,29,53,22,25,34,19,182
62,34,53,23,23,31,19,183
63,34,49,18,18,32,17,168
64,37,56,23,18,32,19,185
65,30,49,24,25,26,10,164
66,28,52,9,16,30,17,152
67,38,58,25,20,37,21,199
68,38,56,23,14,33,18,182
